date,Region,iva_corrected,predicted
2020-03-12,Region Kronoberg,0.0,
2020-03-12,Region Norrbotten,0.0,
2020-03-12,Region Skåne,1.0,
2020-03-12,Region Stockholm,3.0,
2020-03-12,Region Sörmland,1.0,
2020-03-12,Region Uppsala,0.0,
2020-03-12,Region Värmland,1.0,
2020-03-12,Region Västerbotten,0.0,
2020-03-12,Region Västernorrland,0.0,
2020-03-12,Region Västmanland,0.0,
2020-03-12,Region Örebro län,0.0,
2020-03-12,Region Östergötland,0.0,
2020-03-12,Västra Götalandsregionen,1.0,
2020-03-13,Region Blekinge,0.0,
2020-03-13,Region Dalarna,0.0,
2020-03-13,Region Gotland,0.0,
2020-03-13,Region Gävleborg,0.0,
2020-03-13,Region Halland,0.0,
2020-03-13,Region Jämtland Härjedalen,0.0,
2020-03-13,Region Jönköpings län,0.0,
2020-03-13,Region Kalmar län,0.0,
2020-03-13,Region Kronoberg,0.0,
2020-03-13,Region Norrbotten,0.0,
2020-03-13,Region Skåne,1.0,
2020-03-13,Region Stockholm,4.0,
2020-03-13,Region Sörmland,1.0,
2020-03-13,Region Uppsala,1.0,
2020-03-13,Region Värmland,1.0,
2020-03-13,Region Västerbotten,0.0,
2020-03-13,Region Västernorrland,0.0,
2020-03-13,Region Västmanland,0.0,
2020-03-13,Region Örebro län,0.0,
2020-03-13,Region Östergötland,0.0,
2020-03-13,Västra Götalandsregionen,1.0,
2020-03-14,Region Blekinge,0.0,
2020-03-14,Region Dalarna,0.0,
2020-03-14,Region Gotland,0.0,
2020-03-14,Region Gävleborg,0.0,
2020-03-14,Region Halland,0.0,
2020-03-14,Region Jämtland Härjedalen,0.0,
2020-03-14,Region Jönköpings län,1.0,
2020-03-14,Region Kalmar län,0.0,
2020-03-14,Region Kronoberg,0.0,
2020-03-14,Region Norrbotten,0.0,
2020-03-14,Region Skåne,3.0,
2020-03-14,Region Stockholm,6.0,
2020-03-14,Region Sörmland,1.0,
2020-03-14,Region Uppsala,1.0,
2020-03-14,Region Värmland,1.0,
2020-03-14,Region Västerbotten,0.0,
2020-03-14,Region Västernorrland,0.0,
2020-03-14,Region Västmanland,0.0,
2020-03-14,Region Örebro län,0.0,
2020-03-14,Region Östergötland,0.0,
2020-03-14,Västra Götalandsregionen,1.0,
2020-03-15,Region Blekinge,0.0,
2020-03-15,Region Dalarna,0.0,
2020-03-15,Region Gotland,0.0,
2020-03-15,Region Gävleborg,0.0,
2020-03-15,Region Halland,0.0,
2020-03-15,Region Jämtland Härjedalen,0.0,
2020-03-15,Region Jönköpings län,1.0,
2020-03-15,Region Kalmar län,0.0,
2020-03-15,Region Kronoberg,0.0,
2020-03-15,Region Norrbotten,0.0,
2020-03-15,Region Skåne,4.0,
2020-03-15,Region Stockholm,11.0,
2020-03-15,Region Sörmland,2.0,
2020-03-15,Region Uppsala,1.0,
2020-03-15,Region Värmland,1.0,
2020-03-15,Region Västerbotten,0.0,
2020-03-15,Region Västernorrland,0.0,
2020-03-15,Region Västmanland,0.0,
2020-03-15,Region Örebro län,0.0,
2020-03-15,Region Östergötland,0.0,
2020-03-15,Västra Götalandsregionen,1.0,
2020-03-16,Region Blekinge,0.0,
2020-03-16,Region Dalarna,0.0,
2020-03-16,Region Gotland,0.0,
2020-03-16,Region Gävleborg,0.0,
2020-03-16,Region Halland,0.0,
2020-03-16,Region Jämtland Härjedalen,0.0,
2020-03-16,Region Jönköpings län,1.0,
2020-03-16,Region Kalmar län,0.0,
2020-03-16,Region Kronoberg,0.0,
2020-03-16,Region Norrbotten,0.0,
2020-03-16,Region Skåne,5.0,
2020-03-16,Region Stockholm,12.0,
2020-03-16,Region Sörmland,2.0,
2020-03-16,Region Uppsala,1.0,
2020-03-16,Region Värmland,1.0,
2020-03-16,Region Västerbotten,0.0,
